NoOfEvals,RexJggKTabletP14K5_0,RexJggKTabletP14K5_1,RexJggKTabletP14K5_2
0,373352.6490758517,631914.757426137,525473.7400859529
100,331985.9432026689,286698.7822462142,396981.32562902325
1100,197137.1823885426,81365.18903953099,183026.37880022905
2100,113134.5048662127,81365.18903953099,92746.36241519274
3100,68864.02357504728,74714.59066319173,44409.5583140987
4100,40125.733858613516,28991.63851223702,45063.03971402258
5100,26467.2522088518,29446.411427921652,24298.090620212784
6100,12210.956916113,11076.692771914939,13644.001938023557
7100,5844.898977243779,11076.692771914939,10917.330826515088
8100,5844.898977243779,5710.864888582853,6446.554830906653
9100,3835.2093155786542,4795.788394589118,4850.455323338237
10100,2155.286914396543,2677.9914914322403,2860.2630716795093
11100,1361.762121278852,1840.967419901809,2015.4330282529309
12100,856.4272560811067,658.9317673023219,1174.1876843451062
13100,842.2146418944883,747.2940048791859,663.323697332327
14100,403.78813865515866,253.97421523192355,522.8221884659994
15100,389.6147703350154,247.74181065098438,213.85717521324432
16100,144.1165108946104,208.4594785328421,187.03369196587983
17100,90.56228119549276,157.00047129729455,110.6641223504303
18100,63.34465342878502,73.76972976981816,55.414479957043355
19100,40.233912418504325,55.940944378136244,33.3923026734871
20100,30.463364671788685,30.454894265975703,26.612076069285557
21100,12.517713012397065,6.862508963455464,22.211080220869214
22100,8.997490300343596,6.862508963455464,12.287193912035448
23100,7.336856615727144,8.995052814093585,8.8450904576677
24100,4.193368918477955,5.2718554386445895,5.146743739513119
25100,2.4650003774258513,3.9889546896065076,3.419532071852956
26100,2.394953382114476,2.230196423971641,3.182344028562998
27100,1.8510242657833647,2.5807367123851033,1.3023788161606502
28100,1.2190853863960975,1.871144408926328,1.3023788161606502
29100,1.142759748877864,1.4708395008607449,0.8614445297855027
30100,0.7552846656963955,1.23498126385144,0.6916976147713839
31100,0.6607753746367163,0.9048517436952997,0.6742002030799714
32100,0.6066875680209574,0.8790450595718099,0.4886588160859128
33100,0.5440179640883571,0.703788231313577,0.41621826895666547
34100,0.40479893761063523,0.35693132278739875,0.31746169424016235
35100,0.34559276089634994,0.35693132278739875,0.2963769551669344
36100,0.2521933436986853,0.2617414772287168,0.22433621623931407
37100,0.18313885682212488,0.18901919783236681,0.16484648748137087
38100,0.13170238399456485,0.1166242044462577,0.15150817123873928
39100,0.07741236020915915,0.0502176739808357,0.08638256443282931
40100,0.0411978813913095,0.03242277937424937,0.07323330382111232
41100,0.04065277675011314,0.03069325965257483,0.04236292784852518
42100,0.029006049906015952,0.018497800453910883,0.030087106189010424
43100,0.020129472713936416,0.01268119802297193,0.020693697928913353
44100,0.017905237393016582,0.005874297915343221,0.01389965720467282
45100,0.011013571548304475,0.004638284986240237,0.012791693892014235
46100,0.006112964357316769,0.003931961115244795,0.006250311246474191
47100,0.00527053478223907,0.001360616724552554,0.004961895143364964
48100,0.003982172084696363,0.001360616724552554,0.0040479047547619836
49100,0.004169532985470474,0.0011524954139209437,0.002838465426853717
50100,0.0024154033475956454,6.587983576845686E-4,0.001719880331385183
51100,0.001857282257977692,4.217181134398472E-4,0.0014661201645007652
52100,0.0015835703065549605,3.44974614997452E-4,0.0011226911387780673
53100,0.0012324711719266096,2.413945526969937E-4,6.828806104133574E-4
54100,8.992471956665169E-4,1.0753685141187492E-4,6.336428060049466E-4
55100,3.998510088282955E-4,1.0753685141187492E-4,4.6076689392926263E-4
56100,5.387002347935861E-4,7.766553355375937E-5,2.354315703914929E-4
57100,2.7722161893301597E-4,5.8684858816776906E-5,2.251405625744045E-4
58100,2.0353586303163874E-4,4.0136093842615444E-5,1.6093747589251446E-4
59100,6.718181766596433E-5,2.0825883006175616E-5,1.2234514991202463E-4
60100,5.5993437108844404E-5,1.5639116172090957E-5,4.00318981517497E-5
61100,4.331168377797066E-5,8.30249574381978E-6,5.226869858434824E-5
62100,3.2027794670639734E-5,6.200941003783248E-6,2.3878949153346394E-5
63100,1.8086304486222852E-5,5.218481810034691E-6,1.928118203505807E-5
64100,1.216894531108049E-5,2.0700748692509505E-6,1.098768438961649E-5
65100,5.6596280978813214E-6,1.8689909270432218E-6,9.311739938881976E-6
66100,5.856161783286614E-6,1.1686769931559057E-6,7.837732711791886E-6
67100,3.5885466895788398E-6,8.29513624746617E-7,4.158754566654348E-6
68100,3.21963775356156E-6,3.3144553397959727E-7,3.386942698624423E-6
69100,1.9670939497189126E-6,3.496633110120527E-7,2.314490937275379E-6
70100,1.3801488477011705E-6,2.2982571743103573E-7,1.2701955839531483E-6
71100,1.0909795472766207E-6,1.7485974787184625E-7,1.0201325966105806E-6
72100,8.458073487936321E-7,1.0676953501374458E-7,7.269980229837855E-7
73100,4.264101911467443E-7,5.818435706240391E-8,4.2209560733170054E-7
74100,2.6128483658730135E-7,,2.8480606594331517E-7
75100,2.1793868356531582E-7,,1.8894712522086814E-7
76100,9.556546109609744E-8,,1.2829897402415607E-7
76300,,,9.37398502148808E-8
