NoOfEvals,RexJggKTabletP14K5_0,RexJggKTabletP14K5_1,RexJggKTabletP14K5_2
0,559393.4077634673,423512.0383403294,571413.5423947376
0,414216.38364841597,205688.50892303884,433797.4062749685
1000,145055.62518255983,148095.25401617234,145834.79948395712
2000,106741.79138159045,154031.44314796457,69182.44432064917
3000,53412.46505091163,91069.53576976378,69182.44432064917
4000,42450.52738690661,58088.77398005902,60995.68542869452
5000,30201.668808686325,36524.944629391975,43187.67729632391
6000,28383.16046260076,18775.386997706046,22203.889982285797
7000,16023.310094429491,17557.369925601044,15927.754289058781
8000,8124.737331456275,12229.813382886403,14069.584865456804
9000,8124.737331456275,5962.702931371239,7206.784555798654
10000,5041.305962405452,2723.947352274265,3340.5082538566676
11000,2375.882836853887,3197.079474711677,2961.5034596706573
12000,1668.6223702374482,1947.18828223239,1587.5082924149679
13000,1275.451559575457,1227.9471538634978,1558.0801711138038
14000,1041.192155670148,741.9645682744118,853.0832260078705
15000,824.7807006899029,373.90509876517723,566.8241902149455
16000,497.72069359786025,230.75174910614922,409.96500550327784
17000,291.1923900679734,296.2522153734078,333.76447849167
18000,179.5661497128684,168.4112157663255,185.9158893071956
19000,124.181583956478,73.28911926152028,149.25239258609366
20000,88.79374928013287,44.224500318326925,99.39012439164846
21000,51.455412828971994,44.224500318326925,55.54677011241518
22000,29.90376031542074,40.875722951521546,46.703894976928204
23000,29.90376031542074,25.641141838412217,34.363264166585516
24000,25.180410815158993,12.889203042409704,16.68537974075898
25000,6.5625514830364375,12.889203042409704,11.323534914493168
26000,5.7121097857788365,5.954798653482568,9.19944795809108
27000,6.65712289100132,5.840890098714601,6.610408478323385
28000,4.752469115798139,3.3658293983389385,3.391755348602987
29000,2.858664360901815,2.388904161920566,3.948759655015752
30000,2.010263984753476,1.1473861046885312,2.1247502180081486
31000,1.1614227934091002,1.1473861046885312,1.685681357236678
32000,1.3645593473339845,0.6603694792460627,1.0001962639470428
33000,0.7128225388140703,0.4130634506933758,0.8860462765596381
34000,0.5248868562365157,0.4149683746564708,0.5047322522809592
35000,0.41720977599034015,0.21422418580107913,0.4563147080036236
36000,0.30656200578326004,0.17814873466944917,0.30685746902329314
37000,0.24924222984804761,0.16861228202826947,0.32477437616749594
38000,0.09781702375658326,0.05852660705556213,0.25545625671384925
39000,0.08506160892794962,0.05852660705556213,0.17808933658296183
40000,0.07877072230424835,0.05210168531808115,0.15282344774234669
41000,0.05530722856870235,0.03314620773468278,0.12508329833635942
42000,0.03089815864326265,0.02750326325485889,0.06190646106708545
43000,0.02194629484038856,0.0169471002273159,0.05473992645045259
44000,0.016090342118974563,0.012670056468990033,0.041827160910820844
45000,0.009145987575748681,0.011444235754394693,0.0247148587297416
46000,0.00676299518494053,0.007048721755223172,0.020231555697273248
47000,0.005955106498405824,0.0057719261268550865,0.015330636225224868
48000,0.004368257019277336,0.002637173243882878,0.007840769658923242
49000,0.0030312748191646363,0.002857984029742849,0.0053732190091132165
50000,0.002291060697209984,0.001580348274386398,0.0047707320982201245
51000,0.0012707971820971483,0.0015393355483595598,0.002974772165881942
52000,0.0010394993296364366,6.563922780714424E-4,0.0024085847844345374
53000,7.990953050738947E-4,5.902019541936582E-4,0.0013994235163657391
54000,5.061204777002219E-4,3.987155757737578E-4,5.443188243741757E-4
55000,2.4888394031412483E-4,2.509723890692608E-4,5.320360159655736E-4
56000,1.7941797186822782E-4,1.596879818447772E-4,2.927766134989838E-4
57000,1.6615891539618996E-4,1.2047446526780392E-4,2.667611306931146E-4
58000,1.2673375530257138E-4,9.42773931350386E-5,2.651520576070604E-4
59000,7.401049638358982E-5,6.523633798964834E-5,1.38463863192641E-4
60000,4.532897414133503E-5,4.3350834633834366E-5,8.332574662831627E-5
61000,4.532897414133503E-5,1.716963222642332E-5,8.332574662831627E-5
62000,3.181648059408368E-5,1.716963222642332E-5,4.85486969489515E-5
63000,1.4973943758897251E-5,1.562564367284147E-5,2.5216471259317696E-5
64000,1.029196785868801E-5,6.495588305347194E-6,2.0424726418650594E-5
65000,8.668600630683128E-6,8.25828688567073E-6,7.1331156499281675E-6
66000,5.788078893783245E-6,5.3288727541003065E-6,7.1331156499281675E-6
67000,3.6556037038380266E-6,3.275089632685095E-6,7.1331156499281675E-6
68000,2.699070658012424E-6,3.091565751928209E-6,7.1331156499281675E-6
69000,1.6303492523118445E-6,1.2996331701604823E-6,2.665044736638096E-6
70000,8.601709781333136E-7,1.3664274690818452E-6,2.178121944086257E-6
71000,8.601709781333136E-7,7.867321862698781E-7,1.7083225702374743E-6
72000,4.4738116115546644E-7,7.145706996666187E-7,1.371132419089537E-6
73000,4.4738116115546644E-7,4.2552063495320857E-7,9.67542581665636E-7
74000,3.312191517618069E-7,2.7366092247335964E-7,6.731131532375338E-7
75000,1.753838213910632E-7,1.7058072951141073E-7,4.906203880431824E-7
76000,1.7716483102367598E-7,1.7187340683031997E-7,2.5443965255202487E-7
77000,1.153543177675605E-7,,2.417801943736589E-7
78000,,,1.6696490538962545E-7
79000,,,1.0853855894047789E-7
